target_id,target_label,source_anchor,research_state,classification_outcome,interpretation,qa_state,effective_frame_class,identity_limitation,bounded_proposition,required_abstention,evidence_locus,inference_extent,temporal_state,temporal_display_rule,law_practice_note,network_territorial_note,language_access_limitations,coverage_confidence
R1:L:-500:D,Carthage,-500,reviewed_classified,classified,,validated,polity,Frozen Cliopatria row spans the anchor; no identity defect identified in prior QC.,"Specialist synthesis supports slavery as an important institution in Punic Carthage, including substantial slave labour in the agricultural hinterland and significant slave ownership among Carthaginian elites. This supports a bounded territorial-practice claim for Carthage around the Punic centuries containing the 500 BCE anchor.","Do not infer a numeric enslaved share, universal slave-labour regime, uniform status across all Punic territories, or structural intensity beyond what the specialist synthesis supports.",Carthage and its agricultural hinterland,Carthage/hinterland institutional slavery; no quantitative empire-wide prevalence claim,supported_period_level,May be visible at the 500 BCE anchor only as Punic-period support; do not imply a single exact-year observation.,The source treats legal position and economic role; legal/economic evidence is not converted into a population share.,,English-language specialist synthesis reviewed; underlying Punic and Graeco-Roman source corpus is accessed through the specialist analysis.,high
R1:L:1300:B,Cuzco,1300,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,node_or_incipient_polity,Cuzco around 1300 must not be treated as the later mature Inca imperial polity.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:L:1800:A,United States of America,1800,reviewed_classified,classified,,validated,polity,Frozen Cliopatria row/anchor is valid; no frame defect identified.,"The federal 1800 census explicitly enumerated people in a 'slaves' category across United States districts and territories; the official national total was 893,602. This directly establishes enslaved status and slavery within the United States at the 1800 anchor without requiring inference from later evidence.","Do not turn the national count into a uniform state-by-state legal/practice condition, infer that slavery existed in every enumerated locality, mechanically derive a prevalence/intensity score, or erase free Black populations and large regional legal differences.",United States federal census districts and territories enumerated in 1800,presence of enslaved people within the United States at the 1800 anchor and federally enumerated counts; no uniform subnational practice or intensity inference,supported_exact_cross_section,The dated 1800 federal census supports selected-year presence; subnational legal/practice uniformity remains prohibited.,"The census establishes an enumerated status/practice population, not a single nationwide legal regime; state/territorial law remains a separate dimension.",,"English-language federal records; surviving manuscript schedules are incomplete for some jurisdictions, but official aggregate publications preserve national/district returns.",high
R1:L:1800:F,Portuguese Colonies,1800,reviewed_inconclusive,inconclusive,,validated_with_frame_limitation,jurisdiction_aggregate,Aggregate of multiple Portuguese colonial jurisdictions; no single territorial-practice claim may attach to the aggregate.,"The 1800 evidence securely establishes enslaved populations and slavery in multiple constituent Portuguese possessions, but the frozen source-native aggregate 'Portuguese Colonies' cannot receive one territorial-practice state. Constituent conditions vary too sharply for an empire-wide territorial classification.","Do not average, color, rank, or narrate the dispersed Portuguese possessions as one slavery-practice territory. An empire-wide demographic total is an aggregate statistic, not the territorial historical condition of each possession.",individual Portuguese overseas possessions represented in the 1800 demographic cross-section,constituent-jurisdiction evidence only; no aggregate territorial practice inference,not_applicable_aggregate,No single territorial selected-year state may be rendered for the Portuguese-colonies aggregate.,Resident enslaved-population estimates establish practice/presence at constituent level but do not by themselves resolve each jurisdiction's full legal regime.,,Portuguese/English-accessible demographic scholarship reviewed; underlying enumerations are heterogeneous and partly estimated.,moderate
R1:L:500:F,Chámpa,500,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated,polity,Frozen source-native interval contains the anchor; identity retained.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:L:al_azhar_1100,al-Azhar Mosque/university,1100,reviewed_inconclusive,inconclusive,,validated_with_frame_limitation,institution_estate,Institutional point/locus inside Cairo; city/imperial context is not institutional practice.,"Slavery and slave trading were embedded in Fatimid Cairo and its ruling/military context, but the reviewed packet does not establish slave ownership, slave labour or a slavery institution specifically at al-Azhar around 1100 CE.","Do not infer al-Azhar institutional slaveholding from slavery in Fatimid armies, Cairo households/markets, or from the enslaved/freed status of actors connected to the Fatimid conquest and foundation of Cairo.",Fatimid Cairo and broader Egyptian slave market/ruling context,context only for al-Azhar; no institution-specific slavery claim,unknown,Do not render institution-specific slavery at al-Azhar for 1100.,,"Cairo-wide slave markets and military recruitment are contextual, not al-Azhar institutional practice.",English-language specialist monograph reviewed; Geniza/Arabic source corpus not exhaustively reviewed for institution-specific al-Azhar ownership/labour.,limited_moderate
R1:L:andaman_1800,Andaman Islands communities,1800,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,region_community,Multiple distinct island peoples; no single indigenous polity.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:L:cahokia_1200,Cahokia,1200,reviewed_inconclusive,inconclusive,,validated_with_frame_limitation,node_site,Archaeological urban/site frame; no automatic territorial polity extent.,"Mound 72 securely supports sacrificial killing, pronounced social differentiation and coercive elite power in an earlier Cahokia sequence. One published synthesis interprets some sacrificed individuals as slaves, while later bioarchaeological and mortuary reanalyses revise premises about origin, sex and ritual structure. The packet does not securely establish slave status and does not establish a slavery-practice state at the 1200 CE anchor.","Do not infer slavery from execution, sacrifice, nutritional stress, social inferiority, presumed foreignness, captivity or elite coercive power alone; do not project the earlier Mound 72 evidence forward to selected-year 1200 or extrapolate it to citywide prevalence.",Mound 72 mortuary contexts at Cahokia,earlier Mound 72 coercive/sacrificial evidence only; slave status and 1200 territorial practice remain unestablished,unknown,Do not project earlier Mound 72 evidence to 1200.,,,English-language archaeological/bioarchaeological scholarship reviewed; no direct legal/status documentation exists.,moderate
R1:L:COV2:-500:C,Hadhramaut,-500,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated,polity,Frozen source-native interval contains the anchor; identity retained.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:L:COV2:1300:B,Chimu Empire,1300,reviewed_classified,classified,,validated,polity,Frozen source-native interval contains the anchor; identity retained.,"Archaeological scholarship on the Chimú polity describes a political economy characterized by state control over land, water and labor resources and, in conquered/administrative territories, tribute and labor service directed toward the capital. Specialist work places a major phase of Chimú expansion at about 1300 and identifies administrative oversight of canal construction and corvée labor. This supports a bounded classification of state labor-service/corvée coercion within the Chimú system at the 1300 anchor.","Do not relabel Chimú labor service as chattel slavery, infer permanent personal unfreedom, assume every household or province was subject to identical coercion, or treat debated forced-resettlement models at Cerro la Virgen as established empire-wide fact.","Chimú heartland and administrative/provincial systems on the north coast of Peru, including Moche/Chan Chan and conquered valleys","bounded state labor service/corvée and extraction; not slavery status, uniform household coercion, or an empire-wide intensity score",supported_period_level,Corvée/labor-service support spans the archaeological phase containing 1300; do not imply an exact annual event or chattel-slavery status.,"The claim is archaeological/political-economic practice, not a reconstructed formal legal code.",,English-language archaeological scholarship and source summaries reviewed. The evidence is primarily material/archaeological and partly model-based; colonial ethnohistoric analogies are treated as supporting context rather than sole proof.,moderate_high
