target_id,source_id,source_version_ref,title,url,locator,source_classification,evidence_role,claim_fitness,independence_group,direction,decisive,access_limitation,accessed_at,asset_sha256,dependency_note
"R1:N:swahili_1400","SWA-VERNET-HABASQUE-2024","doi:10.1093/acrefore/9780190277734.013.887:2024","Slave Trade and Urban Slavery on the Swahili Coast from Medieval Times to Abolition","https://doi.org/10.1093/acrefore/9780190277734.013.887","Abstract and medieval c.750-1500 synthesis; steady but not massive export; dependence complexity","secondary_specialist_slavery_history","medieval_network_classification_and_scale_boundary","Strong for persistent medieval slave-trade participation and for constraining scale/uniformity; not port-by-port exact-1400 evidence","swahili-longue-duree-slavery-synthesis","supports","true","Publisher abstract and structured chapter summary read; full paywalled chapter not exhaustively reread","2026-09-25","","Interpretive backbone; synthesizes earlier primary and secondary traditions and is not counted as a new independent event"
"R1:N:swahili_1400","SWA-FLEISHER-2015","doi:10.1111/aman.12171:2015","When Did the Swahili Become Maritime?","https://doi.org/10.1111/aman.12171","Discussion of Rasulid Yemen customs, late-14th-century Qadi Masud, regular voyages and eastern African commodities including slaves","secondary_specialist_archaeology_history","near_anchor_maritime_network_and_slave_commodity_context","Strong for regular thirteenth/fourteenth-century East Africa-Arabia maritime structure with slaves among traded commodities; unfit to prove every Swahili node or cargo carried slaves","rasulid-yemen-customs-synthesis","supports","true","Open/searchable article text used; underlying customs editions/Vallet 2010 not independently reconstructed","2026-09-25","","Specific customs claims depend partly on Rasulid/Yemeni source scholarship including Vallet; preserve that dependency"
"R1:N:swahili_1400","SWA-IBN-BATTUTA-KILWA-1331","Freeman-Grenville:EastAfricanCoast:2ed:1975:31-32","Ibn Battuta on slaves at Kilwa","https://medievalslavery.org/africa/source-kilwa-slavery-on-the-east-african-coast/source-ibn-ba%E1%B9%AD%E1%B9%ADu%E1%B9%ADa-on-slaves-at-kilwa/","Kilwa 1331; ruler raids Zanj country; twenty enslaved people given in court episode","primary_eyewitness_via_modern_translation","near_anchor_kilwa_local_slavery_raiding_and_alienability","Strong for enslaved presence/transfer at Kilwa and for reported ruler raiding; does not establish coast-wide prevalence or slave-export volume","ibn-battuta-kilwa-1331-chain","supports","true","Modern English translation/reproduction read; Arabic text not independently edited in this pass","2026-09-25","","Teaching page and Freeman-Grenville translation are one Ibn Battuta textual chain, not independent witnesses"
"R1:N:swahili_1400","SWA-SONGO-MNARA-2020","doi:10.1080/0067270X.2020.1841978:2020","No such thing as invisible people: toward an archaeology of slavery at the fifteenth-century Swahili site of Songo Mnara","https://doi.org/10.1080/0067270X.2020.1841978","Fifteenth-century Songo Mnara; terracotta/shell beads and domestic/productive contexts as possible enslaved/underclass proxies","secondary_specialist_archaeology","fifteenth_century_node_local_slavery_interpretation","Strong bounded specialist interpretation for likely enslaved workers at Songo Mnara; material proxies are ambiguous and do not quantify or generalize prevalence","songo-mnara-rodland-et-al-2020","supports","true","Open-access full text read; proxy-status ambiguity explicitly preserved","2026-09-25","","Already represented in repository site case; reuse is dependency-aware and not counted as a new independent discovery"
"R1:N:swahili_1400","SWA-RODLAND-2026","doi:10.1017/S0959774325100292:2025-2026","Traces of Clay: Exploring Slave and Migrant Identities in Medieval Swahili Zanzibar","https://doi.org/10.1017/S0959774325100292","Tumbatu/Mkokotoni c.1000-1400; outlier pottery; medieval slavery/migration discussion; explicit scale and status limits","secondary_specialist_archaeology","exact_horizon_zanzibar_slavery_migration_context_and_material_proxy","Useful for c.1400 archaeological context and for distinguishing enslaved people from migrants/dependents; does not prove slave status of individual potters or quantify scale","zanzibar-medieval-archaeology-rodland-2025","qualifies","false","Open-access Cambridge article read; broad historical discussion partly depends on Vernet and Rødland et al. 2020","2026-09-25","","Separate site dataset but interpretive background overlaps earlier Swahili slavery scholarship; do not double-count broad claims"
"R1:N:ifugao_1700","IFU-BARTON-LAW-1919","Barton:IfugaoLaw:1919:pp35-36","Ifugao Law","https://www.gutenberg.org/files/40807/40807-h/40807-h.htm","Slaves section pp.35-36; child sale; ownership/inheritance; debt servitude; captives sold for debt","early_twentieth_century_ethnography","later_traditional_child_sale_slaveholding_and_debt_bondage","Strong for serious unfreedom in later traditional Ifugao society; unfit to date those institutions to exact 1700 without independent continuity evidence","barton-ifugao-ethnography","supports_context","true","Colonial-era English ethnography; retrospective temporal reach is broad and partly unspecified","2026-09-25","","Same fieldwork/tradition as Barton 1922; count as one principal evidence family"
"R1:N:ifugao_1700","IFU-BARTON-ECON-1922","Barton:IfugaoEconomics:1922:ServantsAndSlaves","Ifugao Economics","https://digicoll.lib.berkeley.edu/record/82778/files/ucp015-007.pdf","Servants and Slaves; himbut; child sale/debt bonding; manumission/incorporation","early_twentieth_century_ethnography","later_traditional_himbut_and_servitude_category","Strong for source-native himbut category and varied servile outcomes; unfit for exact-1700 dating and not independent from Barton 1919","barton-ifugao-ethnography","supports_context","true","Digitized text read; colonial-era terminology and retrospective framing require caution","2026-09-25","","Related Barton ethnographic programme; category variation within same evidence family"
"R1:N:ifugao_1700","IFU-SCOTT-1979","doi:10.13185/2244-1638.3984:1979","Class Structure in the Unhispanized Philippines","https://doi.org/10.13185/2244-1638.3984","Ifugao petty-plutocracy/propertyless/debt-peon discussion; comparative chattel-slave distinction","secondary_specialist_comparative_history_ethnography","category_mapping_and_counterinterpretation","Important caution against treating every Ifugao dependent/propertyless status as chattel slavery; does not erase Barton but narrows category translation","scott-cordillera-class-synthesis","qualifies","true","Publisher metadata plus searchable article reproduction consulted; exact source traditions synthesized by Scott not exhaustively reconstructed","2026-09-25","","Independent later comparative interpretation; use as category challenge, not absence evidence"
"R1:N:ifugao_1700","IFU-ACABADO-2017","doi:10.1017/aap.2016.7:2017","Ifugao Archaeology: Collaborative and Indigenous Archaeology in the Northern Philippines","https://doi.org/10.1017/aap.2016.7","Archaeological models; Spanish encounter mid-1600s; first written description 1793; colonial/pericolonial transformation","secondary_specialist_archaeology","exact_period_chronology_and_source_gap","Strong for seventeenth/eighteenth-century chronology and for showing the written-source gap near 1700; no slave-status attestation","ifugao-archaeological-project","qualifies","true","Open publisher text read; archaeology is local/project-specific and does not cover every Ifugao community","2026-09-25","","Same modern IAP research programme as Acabado et al. 2019; not independent evidence of slavery"
"R1:N:ifugao_1700","IFU-ACABADO-2019","doi:10.1080/00934690.2019.1574159:2019","The Short History of the Ifugao Rice Terraces: A Local Response to the Spanish Conquest","https://doi.org/10.1080/00934690.2019.1574159","Old Kiyyangan/terrace chronology; social and agricultural change after c.1600","secondary_specialist_archaeology","exact_period_social_transformation_without_status_inference","Strong for social/agricultural transformation around the anchor; unfit to infer slavery from hierarchy, labor mobilization or intensification","ifugao-archaeological-project","context","false","Publisher abstract/project synthesis used; no slave-status diagnostic claimed","2026-09-25","","Same IAP programme as Acabado 2017; contextual exact-period evidence only"
