inference_id,target_id,conclusion_key,premise_refs,reasoning_rule,result,review_state
"D06-I01","R1:P:500:A:r1","selected_year_500_slavery_or_coercion_state","doi:10.1017/S0956536107000119;doi:10.1017/S0956536107000090;packet:temporal_precision","temporal_applicability","blocks","experimental_reviewed"
"D06-I02","R1:P:500:A:r1","slave_status_of_moon_pyramid_victims","doi:10.1017/S0956536107000119;doi:10.1017/S0956536107000090;packet:required_abstention","status_mapping","blocks","experimental_reviewed"
"D06-I03","R1:N:shaolin_1000","shaolin_slaveholding_at_1000","doi:10.21313/hawaii/9780824831103.001.0001;Chin2005-SilkRoad-3-2;packet:evidence_locus","target_specificity","blocks","experimental_reviewed"
"D06-I04","R1:N:shaolin_1000","exact_1000_labor_regime","doi:10.21313/hawaii/9780824831103.001.0001;packet:temporal_applicability","temporal_applicability","blocks","experimental_reviewed"
"D06-I05","R1:N:inuit_arctic_1800","internal_inuit_slaveholding","doi:10.63489/acad.2025.35808;doi:10.2307/40928608;packet:network_territorial_note","dimension_separation","blocks","experimental_reviewed"
"D06-I06","R1:N:inuit_arctic_1800","circumpolar_uniform_practice","doi:10.63489/acad.2025.35808;doi:10.2307/40928608;packet:evidence_locus","inference_extent","blocks","experimental_reviewed"
"D06-I07","R1:N:inuit_arctic_1800","exact_1800_territorial_practice","doi:10.63489/acad.2025.35808;doi:10.2307/40928608;packet:temporal_applicability","temporal_applicability","blocks","experimental_reviewed"
"D06-I08","R1:L:cahokia_1200","secure_slave_status_for_mound72_victims","doi:10.3389/frsc.2019.00006;doi:10.1002/ajpa.22791;doi:10.1002/ajpa.22282;doi:10.1017/S0002731600003929","status_mapping","qualifies","experimental_reviewed"
"D06-I09","R1:L:cahokia_1200","selected_year_1200_slavery_state","doi:10.3389/frsc.2019.00006;doi:10.1002/ajpa.22791;doi:10.1017/S0002731600003929;packet:temporal_precision","temporal_applicability","blocks","experimental_reviewed"
"D06-I10","R1:P:500:D:r1","sixth_century_external_slave_export","Procopius-Wars-II.15.4-5-Dewing;doi:10.1017/S0009838800003682;packet:network_territorial_note","dimension_separation","supports","experimental_reviewed"
"D06-I11","R1:P:500:D:r1","exact_500_territorial_slavery_state","Procopius-Wars-II.15.4-5-Dewing;doi:10.1017/S0009838800003682;packet:temporal_applicability","temporal_applicability","blocks","experimental_reviewed"
"D06-I12","R1:P:500:D:r1","independent_attestation_count_for_procopius_chain","Procopius-Wars-II.15.4-5-Dewing;doi:10.1017/S0009838800003682;independence_group:procopius-lazica-trade","source_dependency","qualifies","experimental_reviewed"
"D06-I13","R1:N:nalanda_700","nalanda_specific_slave_labor","doi:10.3390/rel17060746;isbn:9781498554923;packet:evidence_locus","target_specificity","blocks","experimental_reviewed"
"D06-I14","R1:N:nalanda_700","independent_attestation_count_for_yijing_chain","doi:10.3390/rel17060746;isbn:9781498554923;independence_group:yijing-nalanda-institutional-record","source_dependency","qualifies","experimental_reviewed"
"D06-I15","R1:N:nalanda_700","tenancy_as_slavery_or_absence","doi:10.3390/rel17060746;packet:required_abstention","status_mapping","blocks","experimental_reviewed"
