inference_id,target_id,conclusion_key,premise_refs,reasoning_rule,result,review_state
"D6-T01","R1:P:500:A:r1","selected_year_slavery_500","src:doi:10.1017/S0956536107000119;src:doi:10.1017/S0956536107000090;field:temporal_precision","temporal_applicability","blocks","experimental_replay"
"D6-T02","R1:P:500:A:r1","slave_status_of_sacrificial_victims","src:doi:10.1017/S0956536107000119;src:doi:10.1017/S0956536107000090","status_mapping","blocks","experimental_replay"
"D6-S01","R1:N:shaolin_1000","shaolin_slaveholding_1000","src:doi:10.21313/hawaii/9780824831103.001.0001;src:Chin2005-SilkRoad-3-2","target_specificity","blocks","experimental_replay"
"D6-S02","R1:N:shaolin_1000","shaolin_1000_estate_continuity","src:doi:10.21313/hawaii/9780824831103.001.0001;field:temporal_applicability","temporal_applicability","blocks","experimental_replay"
"D6-I01","R1:N:inuit_arctic_1800","internal_inuit_slavery_1800","src:doi:10.63489/acad.2025.35808;src:doi:10.2307/40928608","dimension_separation","blocks","experimental_replay"
"D6-I02","R1:N:inuit_arctic_1800","circumpolar_uniformity","src:doi:10.63489/acad.2025.35808;src:doi:10.2307/40928608;field:evidence_locus","inference_extent","blocks","experimental_replay"
"D6-I03","R1:N:inuit_arctic_1800","exact_1800_territorial_practice","src:doi:10.63489/acad.2025.35808;src:doi:10.2307/40928608;field:temporal_precision","temporal_applicability","blocks","experimental_replay"
"D6-C01","R1:L:cahokia_1200","slave_status_mound72","src:doi:10.3389/frsc.2019.00006;src:doi:10.1002/ajpa.22791;src:doi:10.1002/ajpa.22282;src:doi:10.1017/S0002731600003929","status_mapping","qualifies","experimental_replay"
"D6-C02","R1:L:cahokia_1200","selected_year_slavery_1200","src:doi:10.3389/frsc.2019.00006;src:doi:10.1002/ajpa.22791;src:doi:10.1002/ajpa.22282;src:doi:10.1017/S0002731600003929;field:temporal_precision","temporal_applicability","blocks","experimental_replay"
"D6-L01","R1:P:500:D:r1","selected_year_slave_export_500","src:Procopius-Wars-II.15.4-5-Dewing;src:doi:10.1017/S0009838800003682;field:temporal_precision","temporal_applicability","blocks","experimental_replay"
"D6-L02","R1:P:500:D:r1","territorial_slavery_from_export","src:Procopius-Wars-II.15.4-5-Dewing;src:doi:10.1017/S0009838800003682;field:network_territorial_note","dimension_separation","blocks","experimental_replay"
"D6-L03","R1:P:500:D:r1","independent_corroboration_count","src:Procopius-Wars-II.15.4-5-Dewing;src:doi:10.1017/S0009838800003682;group:procopius-lazica-trade","source_dependency","qualifies","experimental_replay"
"D6-N01","R1:N:nalanda_700","nalanda_slave_labor_700","src:doi:10.3390/rel17060746;src:isbn:9781498554923","target_specificity","blocks","experimental_replay"
"D6-N02","R1:N:nalanda_700","nalanda_tenancy_equals_slavery","src:doi:10.3390/rel17060746;field:bounded_proposition","status_mapping","blocks","experimental_replay"
"D6-N03","R1:N:nalanda_700","independent_corroboration_count","src:doi:10.3390/rel17060746;src:isbn:9781498554923;group:yijing-nalanda-institutional-record","source_dependency","qualifies","experimental_replay"
