target_id,source_version_ref,title,url,locator,independence_group,direction,decisive
R1:P:-2000:C:r1,doi:10.1093/acrefore/9780190277734.013.870,Slavery in Pharaonic and Hellenistic Egypt,https://doi.org/10.1093/acrefore/9780190277734.013.870,Middle Kingdom discussion/abstract,loprieno-2022,supports,true
R1:P:500:A:r1,doi:10.1017/S0956536107000119,"Residential Histories of the Human Sacrifices at the Moon Pyramid, Teotihuacan",https://doi.org/10.1017/S0956536107000119,abstract/results,moon-pyramid-isotopes,supports,true
R1:P:500:A:r1,doi:10.1017/S0956536107000090,"The Human Skeletal Remains of the Moon Pyramid, Teotihuacan",https://doi.org/10.1017/S0956536107000090,"Ancient Mesoamerica 18(1), pp.147–157",moon-pyramid-skeletal,supports,true
R1:N:gao_1500,Willis1985-Hunwick-Songhay,Notes on Slavery in the Songhay Empire,https://www.taylorfrancis.com/books/edit/10.4324/9780203988176/slaves-slavery-muslim-africa-john-ralph-willis,pp.16–31; esp. discussion of Gao and 1498 Mossi campaign,hunwick-songhay-synthesis,supports,true
R1:N:gao_1500,LeoAfricanus-BrownPory-Hakluyt-1896,Della descrittione dell'Africa / Description of Africa (Gao passage),https://books.google.com/books?id=AC0pMm-hAPIC,Gao description,leo-africanus-gao,supports,false
R1:N:shaolin_1000,doi:10.21313/hawaii/9780824831103.001.0001,"The Shaolin Monastery: History, Religion, and the Chinese Martial Arts",https://doi.org/10.21313/hawaii/9780824831103.001.0001,institutional/estate history,shahar-shaolin,supports,true
R1:N:shaolin_1000,Chin2005-SilkRoad-3-2,Monuments in the Desert: A Note on Economic and Social Roots of the Development of Buddhism along the Silk Road,https://edspace.american.edu/silkroadjournal/wp-content/uploads/sites/984/2017/09/srjournal_v3n2-December-2005.pdf,pp.9–11,chin-medieval-buddhist-economy,context,false
R1:N:incense_m100,doi:10.1515/mill-2023-0005,Slavery in First Millennium Arabia: Epigraphy and the Qurʾān,https://doi.org/10.1515/mill-2023-0005,article/abstract and epigraphic analysis,grasso-arabian-epigraphy,supports_and_qualifies,true
R1:N:incense_m100,doi:10.1111/aae.12261,"Minaeans at Ḥimā: The Epigraphic Corpus and Its Historical, Linguistic and Cultural Implications",https://doi.org/10.1111/aae.12261,abstract and corpus discussion,prioletta-arbach-hima,context,false
R1:N:inuit_arctic_1800,doi:10.63489/acad.2025.35808,Slavery in New France: Resistance and Enslavement of Southern Labrador Inuit,https://doi.org/10.63489/acad.2025.35808,article abstract and eighteenth-century cases,mitchell-crompton-labrador,supports,true
R1:N:inuit_arctic_1800,doi:10.2307/40928608,Trans-Indian Identity and the Inuit 'Other': Relations between the Chipewyan and Neighboring Aboriginal Communities in the Eighteenth Century,https://doi.org/10.2307/40928608,pp.611ff discussion of Inuit captives/slaves,roberts-hudson-bay,supports_and_qualifies,true
R1:L:-500:D,doi:10.1093/oso/9780198769941.003.0014,Punic Carthage,https://doi.org/10.1093/oso/9780198769941.003.0014,"chapter 13, pp.259–266",lewis-punic-carthage,supports,true
R1:L:1800:F,doi:10.20947/S0102-3098a0030,"Envisioning, counting and describing Portuguese colonial populations, 1776–1875: notes from research in progress",https://doi.org/10.20947/S0102-3098a0030,"Table 2, 1800 resident slave population shares by possession",matos-portuguese-colonial-populations,supports_and_qualifies,true
R1:L:1800:F,doi:10.1017/S1356186325000124,‘Black’ and ‘golden’ Goa: slavery and empire (sixteenth to eighteenth centuries),https://doi.org/10.1017/S1356186325000124,"Journal of the Royal Asiatic Society 35(3), pp.713–734",zupanov-goa,supports,false
R1:L:1800:F,doi:10.1080/03057070.2016.1178000,"Mozambique Island, Cape Town and the Organisation of the Slave Trade in the South-West Indian Ocean, c.1797–1807",https://doi.org/10.1080/03057070.2016.1178000,"Journal of Southern African Studies 42(3), pp.409–427",harries-mozambique,supports,false
R1:L:cahokia_1200,doi:10.3389/frsc.2019.00006,"Cahokia: Urbanization, Metabolism, and Collapse",https://doi.org/10.3389/frsc.2019.00006,Mound 72 discussion,cahokia-metabolism-synthesis,supports_slave_interpretation,true
