target_id,source_id,source_version_ref,title,url,locator,source_classification,evidence_role,claim_fitness,independence_group,direction,decisive,access_limitation
R1:P:-2000:D:r1,SUM-ADAMS-2010,cdlj:2010-2,Slavery and Freedom in the Third Dynasty of Ur: Implications of the Garshana Archives,https://cdli.earth/articles/cdlj/2010-2,"CDLJ 2010:2",secondary_specialist,structural_archive_synthesis,"Slavery/status diversity in Garshana and Ur III; not aggregate prevalence",ur3-garshana,supports,true,English article with cuneiform evidence mediated by specialist
R1:P:-2000:D:r1,SUM-REID-2023,doi:10.1017/S0020859022000864,Punishment for the Coercion of Labour during the Ur III Period,https://doi.org/10.1017/S0020859022000864,"IRSH 68 S31 pp 15-32",secondary_specialist,status_and_coercion_synthesis,"Distinguishes slaves from other dependent/coerced labour; not one city-state classification",ur3-coercion,supports,true,English specialist synthesis
R1:P:-2000:D:r1,SUM-VEENKER-2009,doi:10.1524/aofo.2009.0022,The appellate process in a legal record from Ur III Umma,https://doi.org/10.1524/aofo.2009.0022,"Ur III Umma legal record",secondary_primary_analysis,bounded_transaction_attestation,"Slave-sale/legal relation in Umma; not aggregate prevalence",ur3-umma-legal,supports,false,Primary cuneiform mediated through specialist edition
R1:P:-2000:E:r1,IND-GREEN-2021,doi:10.1007/s10814-020-09147-9,Killing the Priest-King: Addressing Egalitarianism in the Indus Civilization,https://doi.org/10.1007/s10814-020-09147-9,"J Archaeol Res 29 pp 153-202",secondary_specialist,inequality_control,"Evidence about hierarchy/egalitarianism; explicitly not slavery evidence",indus-inequality,qualifies,true,Open access archaeology
R1:P:-2000:E:r1,IND-HARAPPA-QA,url:harappa-slavery-qa,Is there any indication of slavery or ritual human sacrifice in the IVC?,https://www.harappa.com/answers/there-any-indication-slavery-or-ritual-human-sacrifice-ivc,"expert Q&A",secondary_expert_statement,research_limit,"No current slavery evidence but cannot establish absence",indus-slavery-limit,qualifies,true,Expert web Q&A not formal peer-reviewed article
R1:L:COV2:-500:C,HAD-GRASSO-2023,doi:10.1515/mill-2023-0005,Slavery in First Millennium Arabia: Epigraphy and the Qurʾān,https://doi.org/10.1515/mill-2023-0005,"Millennium 20(1) pp 65-89",secondary_specialist,regional_epigraphic_synthesis,"Strong for South Arabian slavery/captivity and semantic ambiguity; not Hadhramaut-500-BCE target proof",south-arabia-grasso,context,true,English specialist synthesis
R1:L:COV2:-500:C,HAD-FRANTSOUZOFF-2001,book:raybun-hadran-2001,Raybun. Hadran temple de la déesse Atharum/Astarum,https://www.aibl.fr/publications/collections/inventaire-des-inscriptions-sudarabiques/,"Hadramitic corpus; fifth-first centuries BCE",primary_corpus_edition,target_corpus_identity,"Establishes target-specific epigraphic corpus; not itself slavery evidence",hadramawt-raybun,context,true,French corpus edition not exhaustively re-read
R1:L:1300:B,CUZ-BAUER-COVEY-2002,doi:10.1525/aa.2002.104.3.846,Processes of State Formation in the Inca Heartland (Cuzco Peru),https://doi.org/10.1525/aa.2002.104.3.846,"American Anthropologist 104(3) pp 846-864",secondary_specialist,state_formation_context,"Strong for Cuzco 1000-1400 state formation; not slavery evidence",cuzco-state-formation,context,true,English archaeological synthesis
R1:L:1300:B,CUZ-BAUER-2004,book:ancient-cuzco-2004,Ancient Cuzco: Heartland of the Inca,https://www.cambridge.org/core/books/ancient-cuzco/,"Development of Inca State AD 1000-1400",secondary_specialist,chronology_context,"Strong for chronology and later expansion boundary; not 1300 servile-status evidence",cuzco-bauer-chronology,context,true,English archaeological synthesis
R1:L:viking_900,VIK-RAFFIELD-2019,doi:10.1080/0144039X.2019.1592976,The slave markets of the Viking world: comparative perspectives on an invisible archaeology,https://doi.org/10.1080/0144039X.2019.1592976,"Slavery & Abolition 40(4) pp 682-705",secondary_specialist,network_archaeology_synthesis,"Strong for slaving network and market-node interpretation; not territorial prevalence",viking-raffield-network,supports,true,Open access
R1:L:viking_900,VIK-BRINK-2021,doi:10.1093/oso/9780197532355.001.0001,Thraldom: A History of Slavery in the Viking Age,https://doi.org/10.1093/oso/9780197532355.001.0001,book,secondary_specialist,status_synthesis,"Strong for Viking-Age slavery/status fluidity; not route intensity",viking-brink-thraldom,supports,true,English monograph
R1:L:andaman_1800,AND-ANDERSON-2011,doi:10.1016/j.jhg.2010.07.001,"Colonization, kidnap and confinement in the Andamans penal colony, 1771-1864",https://doi.org/10.1016/j.jhg.2010.07.001,"J Historical Geography 37(1) pp 68-81",secondary_specialist,external_captivity_history,"Strong for British kidnap/confinement of islanders; unfit to establish indigenous internal slavery",andaman-colonial-captivity,supports,true,English specialist article
R1:L:andaman_1800,AND-RB-1922,book:andaman-islanders-1922,The Andaman Islanders,https://archive.org/details/andamanislanders00radc,book,secondary_ethnography,later_social_context,"Useful for community differentiation; later ethnography cannot prove 1800 absence",andaman-radcliffe-brown,context,false,Colonial-era ethnography with known mediation
R1:N:angkor_1200,ANG-LUSTIG-2013,doi:10.3406/asean.2013.2272,New insights into personnel in Angkorian inscriptions,https://doi.org/10.3406/asean.2013.2272,"Aséanie 31 pp 55-83",secondary_specialist,epigraphic_personnel_analysis,"Strong for attached temple personnel/status complexity; not universal chattel-slavery mapping",angkor-personnel,supports,true,Published translations/transliterations
