target_id,target_label,anchor,effective_frame_class,origins,current_stage,current_outcome,review_state,publication_ceiling,reconciliation_note
R1:L:-500:D,Carthage,-500,polity,R1,review_complete,R1_reviewed_classified,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:L:1300:B,Cuzco,1300,node_or_incipient_polity,EXP-04,under_review,unassessed,internal_experiment_adversary_not_independent,internal_research_only,row remains under_review
R1:L:1800:A,United States of America,1800,polity,R1,review_complete,R1_reviewed_classified,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:L:1800:F,Portuguese Colonies,1800,jurisdiction_aggregate,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:L:500:F,Chámpa,500,polity,EXP-06,under_review,unassessed_frame_ambiguous_with_near_anchor_status_evidence,internal_experiment_adversary_not_independent,exp06_noncanonical_publish_candidate,row remains under_review; frame/identity ambiguity retained
R1:L:al_azhar_1100,al-Azhar Mosque/university,1100,institution_estate,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:L:andaman_1800,Andaman Islands communities,1800,region_community,EXP-04,researched_internal,bounded_supported_external_colonial_captivity_internal_practice_unassessed,internal_experiment_adversary_not_independent,internal_research_only,
R1:L:cahokia_1200,Cahokia,1200,node_site,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:L:COV2:-500:C,Hadhramaut,-500,polity,EXP-04,under_review,unassessed,internal_experiment_adversary_not_independent,internal_research_only,row remains under_review
R1:L:COV2:1300:B,Chimu Empire,1300,polity,R1,review_complete,R1_reviewed_classified,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:L:COV2:1300:E,Pandya Empire,1300,polity,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:L:viking_900,Viking trade network,900,mobile_network,EXP-04,researched_internal,bounded_supported_network_slaving,internal_experiment_adversary_not_independent,internal_research_only,
R1:N:angkor_1200,Angkor,1200,node_site,EXP-04,researched_internal,bounded_supported_near_anchor_with_category_boundary,internal_experiment_adversary_not_independent,internal_research_only,shares exact Lustig & Lustig 2013 source family with Khmer Empire 1300; claims remain target/anchor-scoped
R1:N:gao_1500,Gao,1500,node_site,R1,review_complete,R1_reviewed_classified,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
