source_relation_id,target_id,title,author_or_institution,source_type,version_or_access,url,locator,evidence_role,supports_or_challenges,notes
"Q01","R1:N:great_zimbabwe_1400","Great Zimbabwe National Monument","UNESCO World Heritage Centre","web institutional","accessed 2026-09-24","https://whc.unesco.org/en/list/364","Outstanding Universal Value > Brief synthesis","identity_anchor","supports","Dates site c.1100–1450; 14th-century principal city of a major state."
"Q02","R1:N:swahili_1400","Ruins of Kilwa Kisiwani and Ruins of Songo Mnara","UNESCO World Heritage Centre","web institutional","accessed 2026-09-24","https://whc.unesco.org/en/list/144","Outstanding Universal Value > Brief synthesis","identity_anchor","supports","Kilwa occupied 9th–19th c.; peak prosperity 13th–14th c.; Swahili trading cities tied to Indian Ocean trade."
"Q03","R1:N:swahili_1400","Safeguarding Swahili trade in the fourteenth and fifteenth centuries","Edward Pollard, World Archaeology 43(3), 2011","secondary scholarship","2011 / accessed 2026-09-24","https://doi.org/10.1080/00438243.2011.608287","Abstract","identity_anchor","supports","Navigational complex interpreted for shipping on Swahili coast in early 14th/15th c."
"Q04","R1:N:maori_1700","Māori arrival and settlement","Te Ara Encyclopedia of New Zealand","institutional reference","published 2012 / accessed 2026-09-24","https://teara.govt.nz/en/history/page-1","Discovery and migration","identity_anchor","supports_with_label_limit","Settlement from East Polynesia c.1250–1300; collective Māori name came into use after European arrival."
"Q05","R1:N:maori_1700","Tribal organisation","Te Ara Encyclopedia of New Zealand","institutional reference","published 2012 / accessed 2026-09-24","https://teara.govt.nz/en/tribal-organisation","The significance of iwi and hapū","frame_scope","supports","Pre-European iwi/hapū organization; hapū the significant political unit with defined territorial interests."
"Q06","R1:N:ifugao_1700","Research","Ifugao Archaeological Project","research project","accessed 2026-09-24","https://www.ifugao-archaeological-project.org/research.html","Research overview","identity_anchor","supports","Terrace/settlement chronology places major development around seventeenth century."
"Q07","R1:N:ifugao_1700","Economic Intensification and Emergent Political Consolidation","Stephen Acabado, Harvard Archaeology event summary","academic institutional","2016 / accessed 2026-09-24","https://archaeology.harvard.edu/event/stephen-acabado-ucla","event abstract","identity_anchor","supports","Old Kiyyangan evidence indicates interaction/occupation c.1600–late 1800."
"Q08","R1:N:ifugao_1700","Community Consent and Community Archaeology in Indigenous Peoples’ Lands","Marlon Martin and Stephen Acabado","research paper","accessed 2026-09-24","https://www.ifugao-archaeological-project.org/uploads/6/4/4/7/6447606/community-participation.pdf","opening section","frame_scope","supports_with_limit","Ifugao comprises multiple ethnolinguistic groups; Kiyyangan is a Tuwali-Ifugao locus."
"Q09","R1:P:500:C:r1","Medieval/Christian Nubia","Alexandros Tsakos, Oxford Research Encyclopedia of African History","secondary scholarship","2021 / accessed 2026-09-24","https://doi.org/10.1093/acrefore/9780190277734.013.1081","Abstract","identity_anchor","supports","Places Nubian kingdoms including Nobadia within cultures developing from roughly the 5th century."
"Q10","R1:P:500:C:r1","Coexistence and colonialism: religious conversion and the expansion of Christianity in Northeast Africa","2025 archaeology article","secondary scholarship","2025 / accessed 2026-09-24","https://doi.org/10.1080/0067270X.2025.2529113","section on Nubian political states","chronology_limit","qualifies","Confirms Nobadia as a political state by sixth century; later institutional evidence must not be projected exactly to 500."
"Q11","R1:P:500:E:r1","Buddhadatta and his contributions to the History of Tamil Nadu","Jothi S. Themozhi, Journal of Tamil Peraivu 7(2)","secondary scholarship","2018 / accessed 2026-09-24","https://doi.org/10.22452/JTP.vol7no2.8","Abstract","identity_anchor","supports_conventional_model","Uses conventional 3rd–6th c. Kalabhra model and cites a fifth-century literary reference to a Kalabhra ruler."
"Q12","R1:P:500:E:r1","The Dark Period: Myth or reality?","Valérie Gillet, Indian Economic & Social History Review 51(3)","secondary scholarship","2014 / accessed 2026-09-24","https://doi.org/10.1177/0019464614536018","Abstract","identity_anchor","challenges","Source-critical reassessment argues that a three-century Kalabhra dynastic interregnum does not withstand evidence-based scrutiny."
"Q13","R1:P:-500:F:r2","From city-state to autocratic monarchy (707 to 250 BCE)","Richard von Glahn, The Economic History of China","secondary scholarship","2016 / accessed 2026-09-24","https://doi.org/10.1017/CBO9781139343848.003","chapter summary","identity_anchor","supports","Identifies Qi as one of the largest territorial states of early Eastern Zhou/Spring and Autumn era."
"Q14","R1:P:-500:F:r2","Zhou period transformations at the Qianzhongzitou site","Antiquity","secondary scholarship","2025 / accessed 2026-09-24","https://www.cambridge.org/core/journals/antiquity/article/zhou-period-transformations-at-the-qianzhongzitou-site-gaomi-shandong-china/DDB29C02F0DF60C3B9607CC7FDC3F035","discussion of late Spring and Autumn Qi expansion","frame_scope","supports","Historical records place Qi incorporation of Jiaodong in late Spring and Autumn c.570–476 BCE."
"Q15","R1:P:1800:E:r1","KOKAND KHANATE","Timur K. Beisembiev and Scott C. Levi, Encyclopaedia Iranica","secondary reference","updated 2023 / accessed 2026-09-24","https://www.iranicaonline.org/articles/kokand-khanate/","opening + Initial stage + expansion period","identity_anchor","supports_with_extent_limit","Dates state 1709–1876; expansion period begins under Alim Khan in 1799; later 1830s maximum extent must not be back-projected."
