target_id,target_label,anchor,origin,review_disposition,admitted,review_reason,failure_guards,dependency_or_scope_note
R1:P:-2000:D:r1,Sumerian City-States,2000 BCE,EXP-04,ACCEPT_INTERNAL_REVIEW,true,"Near-anchor slavery is supported across multiple southern Mesopotamian contexts while the aggregate/transition frame, category boundaries and non-prevalence limits are explicit.",temporal_applicability;target_specificity;status_mapping;inference_extent,Accept aggregate multi-locus claim only; no single polity or exact-year fabrication.
R1:L:viking_900,Viking trade network,900 CE,EXP-04,ACCEPT_INTERNAL_REVIEW,true,"Near-anchor evidence supports capture, transport and sale within parts of the mobile Viking/Rus network without territorial-state inference.",dimension_separation;inference_extent;temporal_applicability,Network positive only; no homogeneous Viking polity.
R1:L:andaman_1800,Andaman Islands communities,1800 CE,EXP-04,ACCEPT_INTERNAL_REVIEW,true,External British colonial capture/removal near the anchor is supported while indigenous internal slavery remains explicitly unassessed.,dimension_separation;target_specificity;status_mapping,Compound external-positive/internal-unassessed state preserved.
R1:N:angkor_1200,Angkor,1200 CE,EXP-04,ACCEPT_INTERNAL_REVIEW,true,Near-anchor temple/royal evidence supports institutional bonded/unfree labor with specific slavery/property contexts; personnel totals and khnum are not globally normalized.,status_mapping;inference_extent;source_dependency,Shares Lustig & Lustig 2013 / angkor-personnel-corpus with Khmer 1300; not independent across rows.
R1:P:1800:C:r1,Ethiopian Empire,1800 CE,EXP-04,ACCEPT_INTERNAL_REVIEW,true,"Slavery and slave trading are supported in multiple regional contexts near 1800, with fragmented sovereignty and network/territorial limits explicit.",dimension_separation;inference_extent;status_mapping,No uniform empire-wide practice/intensity.
R1:P:1300:A:r1,Later Mayan City-States,1300 CE,EXP-06,ACCEPT_INTERNAL_REVIEW,true,"Mayapan provides an in-period locus for captive-taking/slave sale, while the aggregate target explicitly withholds uniformity across Later Maya city-states.",target_specificity;inference_extent;status_mapping,Mayapan locus does not generalize to aggregate.
R1:N:mongol_yam_1300,Mongol Yam/postal network,1300 CE,EXP-06,ACCEPT_INTERNAL_REVIEW,true,Structured compulsory relay labor/resource obligations are supported across multiple branches around 1300 and remain separate from slavery/forced migration.,dimension_separation;status_mapping;inference_extent,Coerced-service network claim only; station household != slave.
R1:N:yaghan_1800,"Yaghan communities, Tierra del Fuego",1800 CE,EXP-06,ACCEPT_INTERNAL_REVIEW,true,Internal Yaghan slavery remains researched-inconclusive while external/intergroup captivity is preserved directionally; no absence inference is made.,dimension_separation;temporal_applicability;target_specificity,"Inconclusive is an accepted research result, not absence."
R1:P:1300:F:r1,Khmer Empire,1300 CE,EXP-06,ACCEPT_INTERNAL_REVIEW,true,Zhou Daguan independently supports household slavery at Angkor in 1296-1297; polity-wide prevalence/extent remains withheld.,temporal_applicability;inference_extent;source_dependency,Earlier Angkor epigraphy is predecessor context; shared angkor-personnel-corpus not counted as independent 1300 evidence.
R1:N:great_zimbabwe_1400,Great Zimbabwe,1400,EXP-08,ACCEPT_INTERNAL_REVIEW,true,"Slavery at the site remains researched-inconclusive while hierarchy, tribute/extraction, dependency and collective labor are positively bounded; coastal slavery is context only.",status_mapping;network_territorial;inference_extent,No forced-labor inference from monumentality or trade connectivity.
