cell_id,frame,anchor_year,target_label,coverage_outcome,strongest_bounded_proposition,strongest_unsupported_proposition,cambridge_coverage,palgrave_coverage,language_access_limitations
"-500:A","polity","-500","Olmec Civilization","researched_inconclusive","The bounded packet does not establish slavery or an enslaved status in the sampled Olmec target at c. 500 BCE.","Do not infer slavery from hierarchy, monumental labour, warfare, or slavery elsewhere in precontact America.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"-500:C","polity","-500","Sabaeans","bounded_supported","South Arabian/Sabaic epigraphy supports captivity and slave status, including proprietary purchase/sale relations in some first-millennium contexts.","Do not treat every ʿbd as proof of chattel slavery or infer prevalence from inscription counts.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"-500:D","polity","-500","Carthage","bounded_supported","Specialist scholarship supports slavery as an important institution in Punic Carthage, including slave labour in the agricultural hinterland and aristocratic slaveholding.","Do not infer a numeric population share or universal slave-labour regime.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"-500:E","polity","-500","Janapada of Vatsa","researched_inconclusive","Ancient South Asian scholarship establishes slavery/dependency as a relevant field, but not a Vatsa-specific slavery practice at c. 500 BCE.","Do not map broad dāsa, Śūdra, servitude, or later South Asian slavery evidence directly onto Vatsa.","none","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"-500:F","polity","-500","Qin","researched_inconclusive","Later Qin evidence establishes coerced migration and statuses relevant to enslavement, but does not safely establish the sampled condition at c. 500 BCE.","Do not back-project fourth–third-century BCE Qin statutes or expansion practices to 500 BCE.","none","none","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"500:A","polity","500","Mayan City-States","researched_inconclusive","Precontact Mesoamerica included enslavement, but this packet does not establish slavery for the sampled Maya city-state target at c. 500 CE.","Do not convert captive imagery, warfare, sacrifice, or general Mesoamerican enslavement into an anchor-year Maya slavery claim.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"500:C","polity","500","Alodia","researched_inconclusive","A later sixth-/early-seventh-century source supports sale of an Alodian slave girl, but not slavery in Alodia at exactly 500 CE.","Do not move later Alodian slave-sale evidence backward or infer continuous trade.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"500:D","polity","500","Anglo-Saxon England","bounded_supported","Early Anglo-Saxon England is defensibly characterized as slaveholding in the broad period around 500 CE, though direct legal evidence begins later.","Do not assign exact 500 CE prevalence or make Æthelberht's later law code contemporaneous.","direct","none","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"500:E","polity","500","Vakataka Kingdom","researched_inconclusive","The Vakataka target is well documented politically and epigraphically, but this packet does not establish Vakataka-specific slavery at c. 500 CE.","Do not transfer slavery/dependency evidence from other South Asian regions into Vakataka territory.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"500:F","polity","500","Chámpa","researched_inconclusive","Later medieval evidence supports slavery in Champa, but not a comparable condition at c. 500 CE.","Do not back-project thirteenth-century markets or later Vietnamese-Cham captivity to 500 CE.","none","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1300:A","polity","1300","Texcoco","researched_inconclusive","Texcoco is contextualized for the thirteenth century, but this packet does not establish a Texcoco-specific slavery institution at c. 1300.","Do not back-project later Nahua/Aztec tlacotli institutions to Texcoco 1300.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1300:B","polity","1300","Cuzco","researched_inconclusive","Cuzco around 1300 is pre-imperial/Killke; this packet does not establish later Inca coerced-labour/dependent statuses in the sampled form.","Do not back-project imperial mit'a, yanakuna, or other later institutions.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1300:C","polity","1300","Mahdids","researched_inconclusive","The sampled target is internally inconsistent: Cliopatria labels Mahdids active 1260–1474 while its supplied Wikidata identity describes a Yemeni dynasty of 1159–1174.","Do not substitute another polity or research a slavery claim against an unresolved identity.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1300:D","polity","1300","Zayyanid dynasty","bounded_supported","Sources support enslaved people and slave-trade connections in the Zayyanid/Tlemcen context, including Christian slaves linked to the Banū ʿAbd al-Wād.","Do not infer population share or realm-wide prevalence from Tlemcen/court/trade evidence.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1300:E","polity","1300","Yadava Dynasty","researched_inconclusive","Medieval South India has evidence of slavery/dependency, but this packet does not establish it specifically for sampled Yadava/Devagiri.","Do not generalize Tamil-region inscriptional evidence to the Yadava polity because dates overlap.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1300:F","polity","1300","Chámpa","bounded_supported","Early-thirteenth-century descriptions of Champa report people being bought and made slaves, supporting a bounded slavery/slave-market claim near 1300.","Do not infer territorial prevalence across all Champa from market/transaction evidence.","none","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1800:A","polity","1800","United States of America","bounded_supported","Chattel slavery was legally institutionalized and practiced in substantial parts of the United States around 1800, with important regional legal differences.","Do not represent the entire United States as one homogeneous slavery-practice/legal-status condition.","adjacent","direct","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1800:C","polity","1800","Bornu Empire","bounded_supported","Bornu was materially involved in slave raiding and trans-Saharan slave trading across the period leading into 1800.","Do not turn campaign/raid/trade intensity into numeric territorial prevalence inside Bornu.","direct","direct","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1800:D","polity","1800","Kingdom of Great Britain","materially_disputed","At 1800, metropolitan Britain cannot be summarized as simply slave-society-present or slavery-abolished: metropolitan slavery had largely receded while imperial/Atlantic participation remained extensive.","Do not infer metropolitan practice from colonial plantation slavery/trade participation or treat Somerset 1772 as simple nationwide abolition.","direct","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1800:E","polity","1800","British Ceylon","bounded_supported","Slavery is directly documented in Jaffna under Dutch and early British rule around 1800; abolition measures developed only afterward.","Do not generalize Jaffna evidence to all British Ceylon or treat British acquisition as immediate emancipation.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"1800:F","polity","1800","Portuguese Colonies","materially_disputed","Multiple Portuguese colonial settings had slavery/slave-trade institutions, but the aggregate sampled label 'Portuguese Colonies' cannot support one territorial-practice state at 1800.","Do not collapse Goa, African, Atlantic, Timorese or other Portuguese territories into one prevalence/practice condition.","adjacent","adjacent","English-accessible packet only; non-English/non-digitized scholarship not exhaustively searched."
"NP-01","non_polity_challenge","1800","Central Australian interior, c. 1800 CE","researched_inconclusive","The bounded packet did not establish a slavery institution for a specific Central Australian society at c.1800.","Do not infer slavery from warfare, captivity, kinship asymmetry, or later colonial forced labour elsewhere in Australia.","none","none","English-accessible scholarship only; oral histories and Indigenous knowledge systems are not captured by this bounded web packet."
"NP-02","non_polity_challenge","1800","New Guinea Highlands, c. 1800 CE","researched_inconclusive","Later ethnography documents warfare/captivity dynamics, but the packet does not establish slavery at c.1800.","Do not back-project twentieth-century ethnography or equate captive incorporation with slavery.","none","none","Heavy dependence on later ethnography; oral/local-language evidence underrepresented."
"NP-03","non_polity_challenge","1300","North American Great Plains, c. 1300 CE","researched_inconclusive","Precontact North America included captivity/slavery in some societies, but the packet does not establish it for a Great Plains society at c.1300.","Do not project continent-wide or later-contact Plains practices onto the broad challenge region.","direct","adjacent","Archaeological/ethnohistorical evidence uneven; later written sources cannot be assumed unchanged."
"NP-04","non_polity_challenge","1300","Upper / western Amazonia, c. 1300 CE","researched_inconclusive","Later/contact Amazonian scholarship documents captive incorporation and slavery-like relations in some contexts, but not this broad region at c.1300.","Do not back-project post-contact/ethnographic relations or treat Amazonia as one society.","adjacent","adjacent","Retrospective ethnography/post-contact sources dominate; archaeological/Indigenous-language evidence underrepresented."
