target_id,source_id,source_version_ref,title,url,locator,source_classification,evidence_role,claim_fitness,independence_group,direction,decisive,access_limitation
EXP03:ATHENS:-400,ATH-KAMEN-2013-CH1,doi:10.23943/princeton/9780691138138.003.0002,Chattel Slaves,https://doi.org/10.23943/princeton/9780691138138.003.0002,"chapter 1, pp. 8-18",secondary_specialist,structural_interpretation,"institution/status and legal-social structure; not prevalence",athens-kamen-status,supports,true,abstract/metadata plus accessible book description
EXP03:ATHENS:-400,ATH-PORTER-2025,jstor:10.3366/jj.20829423,Diverse Slaveries: Slaving Strategies and Experiences of Slavery in Classical Athens,https://www.jstor.org/stable/10.3366/jj.20829423,book,secondary_specialist,heterogeneity_control,"variation within Athenian slavery; not exact-year prevalence",athens-porter-diverse,qualifies,true,open-access book metadata/description
EXP03:ATHENS:-400,ATH-PSEUDOXEN-1.10-12,urn:cts:greekLit:tlg0032.tlg015.perseus-eng1,Constitution of the Athenians,https://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.01.0158,"1.10-12",primary_literary,bounded_attestation,"slaves socially visible at Athens; rhetorical source not prevalence",athens-pseudoxen-primary,supports,false,English translation used
EXP03:CAIRO:1300,MAM-ALI-2023,doi:10.1093/acrefore/9780190277734.013.874,Slavery in Egypt under the Mamluks,https://doi.org/10.1093/acrefore/9780190277734.013.874,reference article,secondary_specialist,structural_interpretation,"multiple slavery forms in Mamluk Egypt; broader than Cairo",mamluk-ali-synthesis,supports,true,abstract accessible
EXP03:CAIRO:1300,MAM-LOISEAU-2011,doi:10.1080/09503110.2011.552946,Frankish Captives in Mamlūk Cairo,https://doi.org/10.1080/09503110.2011.552946,"pp. 37-52",secondary_specialist,city_specific_attestation,"captives and forced labour in Cairo after 1291; not all Cairo slavery",mamluk-loiseau-cairo,supports,true,abstract accessible
EXP03:TENOCHTITLAN:1500,MEX-SALAZAR-2025,url:scielo-S0071-16752025000100139,Tlacotli: nuevos apuntes para la definición de una categoría nahua,https://www.scielo.org.mx/scielo.php?pid=S0071-16752025000100139&script=sci_arttext,"Estudios de Cultura Náhuatl 69, pp. 139-174",secondary_specialist,terminology_and_structure,"tlacotli terminology/subtypes/markets; colonial-document mediation",mexico-salazar-tlacotli,supports,true,Spanish-language article
EXP03:TENOCHTITLAN:1500,MEX-SALAZAR-2026,doi:10.22201/iih.30618002e.2026.72.78803,De transgresores a dioses: o de cómo algunos tlatlacotin llegaban a la piedra sacrificial,https://doi.org/10.22201/iih.30618002e.2026.72.78803,article,secondary_specialist,category_subtype_analysis,"particular tlacotli form and market/role complexity; same author/source tradition as 2025",mexico-salazar-tlacotli,supports,false,Spanish-language article
EXP03:JOSEON:1700,KOR-AN-2014,doi:10.25024/jsg.2014..31.109,Slave Markets and Trade in Joseon Period: Focused on Slave Trade Letters and Documents in Sangju-mok in 1707,https://doi.org/10.25024/jsg.2014..31.109,"Jangseogak 31, pp. 109-146",secondary_specialist,transaction_document_analysis,"sale/trade practice near anchor; local not polity prevalence",joseon-sangju-1707,supports,true,Korean article/English metadata
EXP03:JOSEON:1700,KOR-PARK-2013,kci:ART001757749,The Change of Joseon Government's Control Policy of Private Nobi Servants in the 17th Century,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART001757749,"History & Reality 87, pp. 395-423",secondary_specialist,status_legal_analysis,"private nobi redemption/status control; not universal classification",joseon-private-nobi-control,supports,true,Korean article/English abstract
EXP03:JOSEON:1700,KOR-LEE-2010,doi:10.22943/han.2010..52.013,Critical Review on James Palais’ Theory of Korean Slavery Society,https://doi.org/10.22943/han.2010..52.013,"Korean Culture 52, pp. 339-351",secondary_specialist,classification_challenge,"challenges universal slave/slavery-society classification; does not negate documented nobi transactions",joseon-classification-debate,challenges,true,Korean article/English abstract
EXP03:JOSEON:1700,KOR-ANDRADES-2023,doi:10.24310/raphisa.7.2.2023.17519,The Historiographical Debate around the Nobi System: The Case of James B. Palais,https://doi.org/10.24310/raphisa.7.2.2023.17519,"vol. 7 no. 2, pp. 53-76",secondary_historiography,dispute_context,"establishes continuing slavery-versus-serfdom historiographical dispute; partly dependent on same debate",joseon-classification-debate,qualifies,false,English abstract; PDF Spanish
EXP03:ZANZIBAR:1850,ZAN-LIEBST-2023,doi:10.1007/978-3-031-13260-5_28,Urban East African Slavery,https://doi.org/10.1007/978-3-031-13260-5_28,"pp. 497-515",secondary_specialist,structural_interpretation,"urban/rural slavery and Zanzibar temporal context; counts not used as prevalence score",zanzibar-liebst-urban,supports,true,open access
EXP03:ZANZIBAR:1850,ZAN-SHERIFF-2016,doi:10.57054/codesria.pub.37,Transition from Slavery in Zanzibar and Mauritius,https://doi.org/10.57054/codesria.pub.37,book,secondary_specialist,structural_interpretation,"nineteenth-century Zanzibar slavery system and transition context",zanzibar-codesria-transition,supports,true,book openly listed/full text available
